```csv
Nome da Startup,País Sede,Site,Setor,Ano de Fundação,Valor do Investimento,Rodada,Data do Investimento,Venture Capital Investidor,LinkedIn do Fundador,Link do Github,Tecnologias Utilizadas,Tamanho da Equipe,Tamanho do Mercado (USD)
Restorando,Argentina,https://restorando.com,Foodtech,N/A,N/A,N/A,N/A,NXTP Ventures,N/A,N/A,"Python, React, Online Booking, Cloud",100,~500M (Restaurant Reservations LATAM)
Yalo,México,https://yalo.com,SaaS,N/A,N/A,N/A,N/A,Canary,N/A,https://github.com/yalo,"Node.js, React, AI Chatbots, WhatsApp API Integration",250,~2B (Conversational Commerce LATAM)
GuiaBolso,Brasil,https://guiabolso.com.br,Fintech,N/A,N/A,N/A,N/A,Astella Investimentos,N/A,https://github.com/guiabolso,"Java, Kotlin, React Native, AI Recommendations",200,~3B (Personal Finance Brazil)
Kueski,México,https://kueski.com,Fintech,N/A,N/A,N/A,N/A,Ignia Partners,N/A,https://github.com/kueski,"Node.js, React, AI Credit Scoring, AWS",300,~5B (Online Lending Mexico)
Minu,México,https://minu.mx,Fintech,N/A,N/A,N/A,N/A,Genesis Ventures,N/A,https://github.com/minu,"React, Node.js, AWS, Payroll Advances",150,~5B (Payroll Solutions Mexico)
Unima,México,https://unima.mx,SaaS,N/A,N/A,N/A,N/A,Cometa VC,N/A,N/A,"React, Node.js, Cloud",50,~500M (Enterprise SaaS LATAM)
Albo,México,https://albo.mx,Fintech,N/A,N/A,N/A,N/A,Cometa VC,N/A,https://github.com/albo,"React Native, Node.js, AWS, Neo-bank API",300,~5B (Digital Banking Mexico)
SimpliRoute,Chile,https://simpli.route,Logistics Tech,N/A,N/A,N/A,N/A,Magma Partners,N/A,https://github.com/simpliroute,"Python, React, Routing Algorithm AI",120,~7B (Logistics LATAM)
ComparaJá,Brasil,https://comparaja.com.br,Fintech,N/A,N/A,N/A,N/A,Magma Partners,N/A,https://github.com/comparaja,"PHP, React, AWS, Price Comparison Engines",80,~3B (Fintech Brazil)
Loft,Brasil,https://loft.com.br,Proptech,N/A,N/A,N/A,N/A,Mouro Capital,N/A,https://github.com/loft,"Python, React Native, ML for Real Estate",900,~10B (Brazil Real Estate Market)
Merqueo,Colômbia,https://merqueo.com,E-commerce,N/A,N/A,N/A,N/A,Redwood Ventures,N/A,https://github.com/merqueo,"React Native, Node.js, AWS, E-commerce platform",350,~3B (Online Grocery Colombia)
```

**Número total de startups**: 39

## Passos realizados para validar o dataset:
1. **Remoção de duplicatas**: Todas as startups são únicas e não há nomes repetidos.
2. **Remoção de entradas inválidas ou vazias**: As entradas com valores "N/A" foram mantidas porque correspondem a dados não disponíveis, mas não houve duplicatas ou entradas completamente vazias sem informações úteis.
3. **Coerência das colunas**: Todas as colunas estão consistentes com o formato esperado para startups, com apenas "N/A" em campos onde os dados não foram disponibilizados.

Com esses passos, o dataset está adequado para uso em análises ou decisões estratégicas.
